module	entry	missing_edges_sha256	disposition	evidence
amer	0x0000a3	2b4bd2ff9b5e382c14243fbb7722c17952ddbf0aef20a510d246692f35597d8c	directed_vectors_required	Two main-loop exit and restart edges remain outside the current eight lifecycle vectors.
croolis	0x0000a3	c730ddc9a56a8ee772268942cbb7db2ab0ab47ee9f557e81816219a1ea896b5d	directed_vectors_required	Two main-loop exit and restart edges remain outside the current eight lifecycle vectors.
scrut	0x0000a3	c730ddc9a56a8ee772268942cbb7db2ab0ab47ee9f557e81816219a1ea896b5d	directed_vectors_required	Two main-loop exit and restart edges remain outside the current eight lifecycle vectors.
manu3	0x000700	df8ab678941420dda49321c1297af4dfe80320d5efc0ffef98c74cf289c94d77	directed_vectors_required	Renderer subpaths and inner span-loop boundaries require additional structured raster inputs.
manu3	0x000d7d	aa545fa281a02c9632f7c45855a550b089b46a28daa4b58aa8708557e5d3376b	directed_vectors_required	Gradient and secondary-edge loop boundaries require additional face geometry vectors.
amer	0x002027	2957972071f37bf0081a0d88a725e1855c888264caea037a58e3bae0c7d68286	directed_vectors_required	The terminal zero-count LOOP edge requires a dedicated bounded execution case.
croolis	0x00206c	e78d8532a186d21d87378c608049632b4ac70582720c679ee265ff06e39e172e	directed_vectors_required	The terminal zero-count LOOP edge requires a dedicated bounded execution case.
scrut	0x00212c	b44b069c993bd2b2d78137efaaf0dfe3570cb2b1abfd971a9e15952be90bb781	directed_vectors_required	The terminal zero-count LOOP edge requires a dedicated bounded execution case.
amer	0x00059b	d1d61281239d516d4f9f70f5eb5862e7ac8d764978127dc801ec5d7b0b27a704	directed_vectors_required	The final face-loop exit requires a dedicated boundary vector.
croolis	0x0005dc	e3af131b65fffd1d9e5598e9fc71c310c7b6f8d8398a77977cf9df78ae8cc36e	directed_vectors_required	The final face-loop exit requires a dedicated boundary vector.
scrut	0x0005dc	e3af131b65fffd1d9e5598e9fc71c310c7b6f8d8398a77977cf9df78ae8cc36e	directed_vectors_required	The final face-loop exit requires a dedicated boundary vector.
amer	0x0024cf	58c33017ba72795bb5fd4698406fed0a51d0a73417682baaeeb6730adcf88f66	directed_vectors_required	The final bucket-loop exit requires a dedicated boundary vector.
croolis	0x002514	d7e121a34128773c0910798abe607543341623d8105f9e26fcddf46a24ef92f3	directed_vectors_required	The final bucket-loop exit requires a dedicated boundary vector.
scrut	0x0025d4	b23649179d1f8975681c541aaa4f10936cf93ca4c5e6f2769555f3ab3cd24ee9	directed_vectors_required	The final bucket-loop exit requires a dedicated boundary vector.
amer	0x002572	d06410a59ae073ad60d4cc707ca21416b4a07cd0659b8c36ab60534406840aeb	directed_vectors_required	Renderer subpaths and inner span-loop boundaries require additional structured raster inputs.
croolis	0x0025d6	f84748b2e15f6e2ae5868a9bda25676b7d208c909177402b63c80c75d3f8ce67	directed_vectors_required	Renderer subpaths and inner span-loop boundaries require additional structured raster inputs.
scrut	0x002696	f236c3e34cb0dee606ade2f51c23fb7f252ebe47a1fc27586d1331fca6ce2a2f	directed_vectors_required	Renderer subpaths and inner span-loop boundaries require additional structured raster inputs.
amer	0x002b6d	5558239f806ee12d00243b5efb42cdef0575e9add09455adfc22762501c64ffc	directed_vectors_required	Gradient and secondary-edge loop boundaries require additional face geometry vectors.
croolis	0x002bdd	b9ff0cc2fd99de8bd94f904af47d67b5d44312ae5fb6211a98683cbebde18e2a	directed_vectors_required	Gradient and secondary-edge loop boundaries require additional face geometry vectors.
scrut	0x002c9d	fd4e06480e9dbbd6c0c4af25cb9194761ab7b36ac6e0fecc37e1e978c27a8787	directed_vectors_required	Gradient and secondary-edge loop boundaries require additional face geometry vectors.
