module	source_symbol	target_symbol	original_jump_offset	original_target_offset	source_sha256	target_sha256	epilogue	evidence
amer	xdb_amer_slot1_wave_update_	xdb_amer_slot1_camera_update_	0x0bcd	0x0c5d	e4e97ac319a89f151d62763a34c5a85b43497fd076e4554755b6b3ad0464c882	e78dabd64941d636d3baff7f9df722851c3c6c7666ee79c0867bff9a8cc00010	pop_dx,ret	original-overlay vectors and real-mode AMER slot-1 callback probe
amer	xdb_amer_slot2_selection_update_	xdb_amer_slot2_common_update_	0x19bd	0x171d	f1d04bc5cdaf3bfe380b4028270b7439ef533cb71e2c19fe2d597475fbb60ace	fccb067a4dcc045723b1cb225285d81754189763d34f6e17f7a4382cee1f4bcb	jmp_short,leave,pop_dx,pop_cx,pop_bx,ret	real-mode AMER slot-2 callback-family probe
amer	xdb_amer_slot2_selection_late_update_	xdb_amer_slot2_common_update_	0x1a28	0x171d	99dfe63e483d9682260ffbe4b4c896d8b4b71b339ab9e626cbf4907d3eecc18d	fccb067a4dcc045723b1cb225285d81754189763d34f6e17f7a4382cee1f4bcb	leave,pop_dx,pop_cx,pop_bx,ret	real-mode AMER slot-2 callback-family probe
croolis	xdb_croolis_slot1_wave_update_	xdb_croolis_slot1_camera_update_	0x0c21	0x0cb5	2eea0bfc8b86f1b6b62959f892e34097b313ee63f9df31778231613002ce4128	e78dabd64941d636d3baff7f9df722851c3c6c7666ee79c0867bff9a8cc00010	pop_dx,ret	original-overlay slot-1 wave vectors and emitted callback ABI gate
croolis	xdb_croolis_slot2_fade_update_	xdb_croolis_slot2_motion_update_	0x1804	0x1794	8ee650a88938d6b81e38d0eb9a52f7fce73aa8e10b5416bad77a22301c48bd4a	11e3c69f269cb3da3236278d7616f979426a714d133a36c952e2d37b173bafdc	pop_dx,pop_bx,ret	real-mode CROOLIS slot-2 callback-family probe
croolis	xdb_croolis_slot2_fade_update_	xdb_croolis_slot2_restart_	0x1812	0x171d	8ee650a88938d6b81e38d0eb9a52f7fce73aa8e10b5416bad77a22301c48bd4a	151ab304273b37f764c257f453c10557bac8e13c973dd98000d6aaf6c7119958	pop_dx,pop_bx,ret	real-mode CROOLIS slot-2 callback-family probe
croolis	xdb_croolis_slot2_reset_or_camera_	xdb_croolis_slot2_common_dispatch_	0x19cb	0x178e	4a3889f1b937db6a47edb9bbcd38e8ddc0513ff2ab93a2d88768d12d067f38fe	7562c3cecf3cdf22fb6a2a3e83c5a78cd3357b02ee42947efc4816fea8a39fe3	leave,pop_di,pop_si,ret	real-mode CROOLIS slot-2 callback-family probe
croolis	xdb_croolis_slot2_reset_or_camera_	xdb_croolis_slot2_common_dispatch_	0x19da	0x178e	4a3889f1b937db6a47edb9bbcd38e8ddc0513ff2ab93a2d88768d12d067f38fe	7562c3cecf3cdf22fb6a2a3e83c5a78cd3357b02ee42947efc4816fea8a39fe3	leave,pop_di,pop_si,ret	real-mode CROOLIS slot-2 callback-family probe
scrut	xdb_scrut_slot1_wave_update_	xdb_scrut_slot1_camera_update_	0x0c15	0x0ca3	6e33f2a9547a34ff9ad6d7a92f42e6579281a8c568dbdfb1db0574f34ab9f2f9	e78dabd64941d636d3baff7f9df722851c3c6c7666ee79c0867bff9a8cc00010	pop_dx,ret	original-overlay slot-1 wave vectors and emitted callback ABI gate
scrut	xdb_scrut_slot2_fade_update_	xdb_scrut_slot2_motion_update_	0x17f1	0x1787	9f1426e1ce2f382c90a84844ba3ae42c0ba72c59c43d38730d110515ebc773d1	a3e810aaad6c08ec5a190e418fb9c9a2cc425125f0f0d71480938fd6ed88a797	pop_dx,ret	real-mode SCRUT slot-2 callback-family probe
scrut	xdb_scrut_slot2_fade_update_	xdb_scrut_slot2_restart_	0x17ff	0x1711	9f1426e1ce2f382c90a84844ba3ae42c0ba72c59c43d38730d110515ebc773d1	151ab304273b37f764c257f453c10557bac8e13c973dd98000d6aaf6c7119958	pop_dx,ret	real-mode SCRUT slot-2 callback-family probe
scrut	xdb_scrut_slot2_finish_update_	xdb_scrut_slot2_selection_init_	0x19cc	0x1802	5e522822e384d9785ec3fce2a7de6cf55787591cdbdb3772eaa38f2cd702f26b	d9290a9172de10d75954c7a91b756e3e926176842898baea4633db792fa6437f	jmp_short,leave,pop_dx,pop_cx,pop_bx,ret	real-mode SCRUT slot-2 callback-family probe
scrut	xdb_scrut_slot2_selection_reset_restart_	xdb_scrut_slot2_restart_	0x1a00	0x1711	c27b466848b71ac258f3181f0d9eee18aa149e227150ef8bc098a734921d370e	151ab304273b37f764c257f453c10557bac8e13c973dd98000d6aaf6c7119958	pop_di,pop_si,pop_bx,ret	real-mode SCRUT slot-2 callback-family probe
scrut	xdb_scrut_slot2_reset_or_camera_	xdb_scrut_slot2_common_dispatch_	0x1a80	0x1781	4eb2a79cd223963e0547411b7b046085ea20a96799e5f635164a4580b851b26e	9c306d7a4cdb5912c39c58a7ac23cc5785ee06206f4c5efffae026600ac86b8f	leave,pop_di,pop_si,pop_cx,pop_bx,ret	real-mode SCRUT slot-2 callback-family probe
scrut	xdb_scrut_slot2_reset_or_camera_	xdb_scrut_slot2_common_dispatch_	0x1a8f	0x1781	4eb2a79cd223963e0547411b7b046085ea20a96799e5f635164a4580b851b26e	9c306d7a4cdb5912c39c58a7ac23cc5785ee06206f4c5efffae026600ac86b8f	leave,pop_di,pop_si,pop_cx,pop_bx,ret	real-mode SCRUT slot-2 callback-family probe
