entry	source	write_semantics	canonical_owner	rust_path	evidence
0x000eb0	seg_008b/func_000eb0_bloodprg_main.c	assign_startup_interface	GameLifecycleState	crates/commander-blood-game/src/native/bloodprg/game_lifecycle.rs	runtime::game_lifecycle::tests::only_native_ui_bit_two_constrains_bridge_steering
0x0014ca	seg_008b/func_0014ca_confirm_dialog_step.c	or_and_clear_modal	RuntimeConfirmDialog	crates/commander-blood-game/src/runtime/confirm_dialog.rs	runtime::confirm_dialog::tests::affirmative_selection_draws_and_updates_flat_lifecycle_state
0x001855	seg_008b/func_001855_scene_transition_step.c	assign_transition_ui_word	RuntimeSceneTransition	crates/commander-blood-game/src/runtime/scene_transition.rs	runtime::scene_transition::tests::scene_transition_applies_native_full_ui_word_assignments
0x001ad3	seg_008b/func_001ad3_presentation_choice_transition_step.c	or_and_clear_modal	RuntimeTextSpeedMenu	crates/commander-blood-game/src/runtime/bridge_console.rs	runtime::bridge_console::tests::text_speed_choice_synchronizes_the_native_modal_ui_bit
0x001b4b	seg_008b/func_001b4b_save_load_menu_step.c	or_and_clear_modal	RuntimeSaveLoad	crates/commander-blood-game/src/runtime/save_load.rs	runtime::save_load::tests::save_load_boundary_preserves_and_releases_the_shared_modal_ui_owner
0x00792d	seg_071e/func_00792d_camera_nav_update.c	or_modal_then_clear_ui_word	RuntimeCameraNavigation	crates/commander-blood-game/src/runtime/camera_navigation.rs	runtime::camera_navigation::tests::destination_entry_reproduces_the_native_full_ui_word_clear
0x0079e5	seg_071e/func_0079e5_screen_mode_update.c	clear_modal_on_finalize	RuntimePresentationScreen	crates/commander-blood-game/src/runtime/services.rs	runtime::services::tests::presentation_screen_redraw_latch_owns_the_native_modal_ui_bit;native::bloodprg::screen_presentation::tests::lifecycle_state_replaces_unexplained_native_state_numbers
0x007d7b	seg_071e/func_007d7b_nav_actor_slot_update_loop.c	or_navigation_busy	RuntimeBridgeActors	crates/commander-blood-game/src/runtime/bridge_actors.rs	runtime::bridge_actors::tests::bridge_seek_owns_native_ui_bit_three_for_its_exact_lifetime
0x007e1c	seg_071e/func_007e1c_presentation_line_helper.c	or_and_clear_modal	RuntimeBridgeActors	crates/commander-blood-game/src/runtime/bridge_actors.rs	runtime::services::tests::real_services_run_the_complete_available_startup_slice
0x007ec0	seg_071e/func_007ec0_nav_actor_handler_1.c	or_modal	RuntimeBridgeActors	crates/commander-blood-game/src/runtime/bridge_actors.rs	native::bloodprg::actor_handler_black_hole::tests::actor_matches_every_original_semantic_vector
0x007f9c	seg_071e/func_007f9c_nav_actor_handler_0.c	or_modal	RuntimeBridgeActors	crates/commander-blood-game/src/runtime/bridge_actors.rs	native::bloodprg::actor_handler_hyperjump::tests::actor_matches_every_original_semantic_vector
0x008082	seg_071e/func_008082_nav_actor_handler_5.c	or_clear_and_reor_modal	RuntimeBridgeActors	crates/commander-blood-game/src/runtime/bridge_actors.rs	native::bloodprg::actor_handler_camera::tests::actor_matches_every_original_semantic_vector
0x00817e	seg_071e/func_00817e_nav_actor_handler_3.c	or_modal	RuntimeBridgeActors	crates/commander-blood-game/src/runtime/bridge_actors.rs	native::bloodprg::actor_handler_panel::tests::actor_matches_every_original_semantic_vector
0x0081fb	seg_071e/func_0081fb_nav_actor_handler_4.c	or_modal	RuntimeBridgeActors	crates/commander-blood-game/src/runtime/bridge_actors.rs	native::bloodprg::actor_handler_radio::tests::actor_matches_every_original_semantic_vector
0x0085e2	seg_071e/func_0085e2_nav_choice_dispatch.c	or_modal_and_navigation_busy	RuntimeBridgeConsole	crates/commander-blood-game/src/runtime/bridge_console.rs	runtime::bridge_console::tests::selected_console_command_owns_the_native_modal_ui_bit
0x00872c	seg_071e/func_00872c_nav_choice_handler_1.c	clear_modal	RuntimeBridgeConsole	crates/commander-blood-game/src/runtime/bridge_console.rs	runtime::bridge_console::tests::selected_console_command_owns_the_native_modal_ui_bit
0x0087bd	seg_071e/func_0087bd_nav_choice_handler_2.c	clear_modal	RuntimeBridgeConsole	crates/commander-blood-game/src/runtime/bridge_console.rs	runtime::bridge_console::tests::selected_console_command_owns_the_native_modal_ui_bit
