component	entry	source	function	rust_path	rust_symbol	disposition	rationale	evidence
xdb_manu3	0x000121	manu3/func_000121_init_protocol.c	xdb_manu3_init_protocol	crates/commander-blood-formats/src/manu3.rs	decode_manu3	eliminated_flat_memory_adapter	File relocation deltas are consumed once by the typed decoder; cumulative runtime segment publication and register installation do not exist	re/tools/oracle_vectors/xdb_manu3_func_0121_natural.json:6
xdb_manu3	0x0006f6	manu3/func_0006f6_face_builder_next.c	xdb_manu3_face_builder_next	crates/commander-blood-game/src/native/manu3/raster.rs	prepare_render_triangles	eliminated_flat_memory_adapter	Typed vertex and face slices flow directly into triangle preparation; loading geometry and raster segments before a tail fallthrough is unnecessary	re/tools/oracle_vectors/xdb_manu3_func_06f6_natural.json:6
xdb_amer	0x002572	amer/func_002572_render_face_buckets.c	xdb_amer_render_face_buckets	crates/commander-blood-game/src/alien_render.rs	AlienRenderer::encode	eliminated_flat_memory_adapter	Typed accepted triangles and stars are submitted to wgpu; the segmented scanline pool, linked span records, Mode X planes, and framebuffer writes do not exist	re/tools/oracle_vectors/xdb_amer_func_2572_natural.json:7
xdb_croolis	0x0025d6	croolis/func_0025d6_render_face_buckets.c	xdb_croolis_render_face_buckets	crates/commander-blood-game/src/alien_render.rs	AlienRenderer::encode	eliminated_flat_memory_adapter	Typed accepted triangles and stars are submitted to wgpu; the segmented scanline pool, linked span records, Mode X planes, and framebuffer writes do not exist	re/tools/oracle_vectors/xdb_croolis_func_25d6_natural.json:7
xdb_scrut	0x002696	scrut/func_002696_render_face_buckets.c	xdb_scrut_render_face_buckets	crates/commander-blood-game/src/alien_render.rs	AlienRenderer::encode	eliminated_flat_memory_adapter	Typed accepted triangles and stars are submitted to wgpu; the segmented scanline pool, linked span records, Mode X planes, and framebuffer writes do not exist	re/tools/oracle_vectors/xdb_scrut_func_2696_natural.json:7
bloodprg	0x00267d	seg_01ce/func_00267d_kbd_read_int16.c	kbd_read_int16	crates/commander-blood-game/src/app.rs	run	eliminated_flat_memory_adapter	SDL3 delivers typed key events directly to the game loop; polling and consuming a BIOS keyboard word is not a runtime operation	re/tools/oracle_vectors/func_267d_natural.json:4
bloodprg	0x0027c3	seg_01ce/func_0027c3_startup_write_directory_enter.c	startup_write_directory_enter	crates/commander-blood-game/src/assets.rs	OriginalResourceStore::write_loose	eliminated_flat_memory_adapter	Every loose-resource operation resolves below an explicit root; changing the process drive and current directory is unnecessary and unsafe	re/tools/oracle_vectors/func_27c3_natural.json:4
bloodprg	0x0027e9	seg_01ce/func_0027e9_startup_original_directory_restore.c	startup_original_directory_restore	crates/commander-blood-game/src/assets.rs	OriginalResourceStore::load	eliminated_flat_memory_adapter	Resource reads use explicit rooted paths and never change process-global drive or current-directory state	re/tools/oracle_vectors/func_27e9_natural.json:4
bloodprg	0x002901	seg_01ce/func_002901_resource_file_load_to_xms.c	resource_file_load_to_xms	crates/commander-blood-game/src/assets.rs	OriginalResourceStore::load	eliminated_flat_memory_adapter	Resources are returned in one owned allocation; staging reads, even-byte padding, XMS handles, and copy requests have no modern storage role	re/tools/oracle_vectors/func_2901_natural.json:10
bloodprg	0x0029f2	seg_01ce/func_0029f2_resource_file_load_to_ems.c	resource_file_load_to_ems	crates/commander-blood-game/src/assets.rs	OriginalResourceStore::load	eliminated_flat_memory_adapter	Resources are returned in one owned allocation; logical-page mapping and EMS page-frame copies have no modern storage role	re/tools/oracle_vectors/func_29f2_natural.json:9
bloodprg	0x005190	seg_04b9/func_005190_resource_allocate.c	resource_allocate	crates/commander-blood-game/src/native/bloodprg/resource_cache.rs	OriginalResourceCache::insert	eliminated_flat_memory_adapter	Owned cache entries have no fixed conventional-memory pool or capacity deficit; observable resident reuse and 16-byte size metadata remain in the typed load operations	re/tools/oracle_vectors/func_5190_natural.json:8
bloodprg	0x00529c	seg_04b9/func_00529c_resource_free_inner.c	resource_free_inner	crates/commander-blood-game/src/native/bloodprg/resource_cache.rs	OriginalResourceCache::release	eliminated_flat_memory_adapter	Removing an owned cache entry needs no resident-list shift storage-location rewrite or byte compaction	re/tools/oracle_vectors/func_529c_natural.json:6
bloodprg	0x002e73	seg_01ce/func_002e73_far_memmove.c	far_memmove	crates/commander-blood-game/src/native/bloodprg/byte_move.rs	move_bytes_in_place	eliminated_flat_memory_adapter	Rust slice copy_within provides the overlap-safe byte move directly; segment normalization copy-direction flags and 64000-byte transfer chunks have no role in one checked owned allocation	re/tools/oracle_vectors/func_2e73_natural.json:10
bloodprg	0x00b7b0	seg_0b1b/func_00b7b0_audio_param_init_cd5.c	audio_param_init_cd5	crates/commander-blood-game/src/native/bloodprg/audio_stream.rs	start_audio_stream	eliminated_host_adapter	The SDL-oriented stream boundary returns typed start service restart and one-shot playback submissions directly; relocating a loaded DOS driver vector table publishing a far callback and invoking its register ABI have no modern runtime role	re/tools/oracle_vectors/func_b7b0_natural.json:6
bloodprg	0x00bb9d	seg_0b1b/func_00bb9d_snd_driver_call.c	snd_driver_call	crates/commander-blood-game/src/native/bloodprg/audio_playback.rs	update_audio_playback	eliminated_host_adapter	Typed playback outcomes carry stop-and-play or stream work to the host and clear semantic request fields directly; issuing command zero through a far DOS driver callback and preserving its register envelope are eliminated	re/tools/oracle_vectors/func_bb9d_natural.json:6
bloodprg	0x00bd09	seg_0b1b/func_00bd09_snd_bank_page_read.c	snd_bank_page_read	crates/commander-blood-game/src/native/bloodprg/audio_stream.rs	AudioStreamSource::page	eliminated_flat_memory_adapter	One bounds-checked page view over the owned stream payload replaces the signed storage-mode dispatch and its EMS XMS or temporary-file helper selection	re/tools/oracle_vectors/func_bd09_natural.json:256
bloodprg	0x00bd26	seg_0b1b/func_00bd26_snd_bank_ems_page_read.c	snd_bank_ems_page_read	crates/commander-blood-game/src/native/bloodprg/audio_stream.rs	AudioStreamSource::page	eliminated_flat_memory_adapter	Owned stream bytes need no EMS logical-page mapping physical page frame interrupt or far 16 KiB copy	re/tools/oracle_vectors/func_bd26_natural.json:4
bloodprg	0x00bd4e	seg_0b1b/func_00bd4e_snd_bank_xms_page_read.c	snd_bank_xms_page_read	crates/commander-blood-game/src/native/bloodprg/audio_stream.rs	AudioStreamSource::page	eliminated_flat_memory_adapter	Owned stream bytes need no XMS handle page offset move request staging pointer or external driver call	re/tools/oracle_vectors/func_bd4e_natural.json:4
bloodprg	0x00bd8d	seg_0b1b/func_00bd8d_snd_bank_file_page_read.c	snd_bank_file_page_read	crates/commander-blood-game/src/native/bloodprg/audio_stream.rs	AudioStreamSource::page	eliminated_flat_memory_adapter	Owned stream bytes provide page slices directly without a mus.snd handle DOS seek ignored read errors or segmented destination	re/tools/oracle_vectors/func_bd8d_natural.json:4
xdb_amer	0x0002f0	amer/func_0002f0_vga_clear_and_sync.c	xdb_amer_vga_clear_and_sync	crates/commander-blood-game/src/alien_render.rs	AlienRenderer::encode	eliminated_host_adapter	wgpu clears color and depth attachments as part of frame encoding and presentation synchronization replaces direct VGA status polling and aperture writes	re/tools/oracle_vectors/xdb_amer_func_02f0_natural.json:4
xdb_croolis	0x000305	croolis/func_000305_vga_clear_and_sync.c	xdb_croolis_vga_clear_and_sync	crates/commander-blood-game/src/alien_render.rs	AlienRenderer::encode	eliminated_host_adapter	wgpu clears color and depth attachments as part of frame encoding and presentation synchronization replaces direct VGA status polling and aperture writes	re/tools/oracle_vectors/xdb_croolis_func_0305_natural.json:4
xdb_scrut	0x000305	scrut/func_000305_vga_clear_and_sync.c	xdb_scrut_vga_clear_and_sync	crates/commander-blood-game/src/alien_render.rs	AlienRenderer::encode	eliminated_host_adapter	wgpu clears color and depth attachments as part of frame encoding and presentation synchronization replaces direct VGA status polling and aperture writes	re/tools/oracle_vectors/xdb_scrut_func_0305_natural.json:4
xdb_amer	0x000336	amer/func_000336_mouse_bounds_set.c	xdb_amer_mouse_bounds_set	crates/commander-blood-game/src/app.rs	map_cursor_to_alien	eliminated_host_adapter	SDL3 pointer samples are mapped into the authored 640 by 1024 logical control range without changing process-global mouse-driver bounds	re/tools/oracle_vectors/xdb_amer_func_0336_natural.json:6
xdb_croolis	0x00034b	croolis/func_00034b_mouse_bounds_set.c	xdb_croolis_mouse_bounds_set	crates/commander-blood-game/src/app.rs	map_cursor_to_alien	eliminated_host_adapter	SDL3 pointer samples are mapped into the authored 640 by 1024 logical control range without changing process-global mouse-driver bounds	re/tools/oracle_vectors/xdb_croolis_func_034b_natural.json:6
xdb_scrut	0x00034b	scrut/func_00034b_mouse_bounds_set.c	xdb_scrut_mouse_bounds_set	crates/commander-blood-game/src/app.rs	map_cursor_to_alien	eliminated_host_adapter	SDL3 pointer samples are mapped into the authored 640 by 1024 logical control range without changing process-global mouse-driver bounds	re/tools/oracle_vectors/xdb_scrut_func_034b_natural.json:6
xdb_amer	0x000347	amer/func_000347_mouse_position_set.c	xdb_amer_mouse_position_set	crates/commander-blood-game/src/app.rs	map_cursor_to_alien	eliminated_host_adapter	The host maps the real pointer to logical alien coordinates each sample and never warps the user's desktop pointer to the native center position	re/tools/oracle_vectors/xdb_amer_func_0347_natural.json:6
xdb_croolis	0x00035c	croolis/func_00035c_mouse_position_set.c	xdb_croolis_mouse_position_set	crates/commander-blood-game/src/app.rs	map_cursor_to_alien	eliminated_host_adapter	The host maps the real pointer to logical alien coordinates each sample and never warps the user's desktop pointer to the native center position	re/tools/oracle_vectors/xdb_croolis_func_035c_natural.json:6
xdb_scrut	0x00035c	scrut/func_00035c_mouse_position_set.c	xdb_scrut_mouse_position_set	crates/commander-blood-game/src/app.rs	map_cursor_to_alien	eliminated_host_adapter	The host maps the real pointer to logical alien coordinates each sample and never warps the user's desktop pointer to the native center position	re/tools/oracle_vectors/xdb_scrut_func_035c_natural.json:6
bloodprg	0x000d61	seg_0000/func_000d61_print_string_dos.c	print_string_dos	crates/commander-blood-game/src/native/bloodprg/diagnostics.rs	write_diagnostic_console_text	eliminated_host_adapter	A single exact binary write preserves the diagnostic byte stream while eliminating the DOS function 2 interrupt and its character-at-a-time register ABI	re/tools/oracle_vectors/func_0d61_natural.json:4
bloodprg	0x00079c	seg_0000/func_00079c_install_timer_isr_hook.c	install_timer_isr_hook	crates/commander-blood-game/src/native/bloodprg/timer.rs	GameTimerState::start	eliminated_host_adapter	Starting owned timer state preserves the gameplay-active gate and twenty-five-subtick period while SDL scheduling replaces the DOS interrupt vector saved handler interrupt masking and PIT programming	re/tools/oracle_vectors/func_079c_natural.json:4
bloodprg	0x0007ea	seg_0000/func_0007ea_restore_timer_isr_hook.c	restore_timer_isr_hook	crates/commander-blood-game/src/native/bloodprg/timer.rs	GameTimerState::stop	eliminated_host_adapter	Stopping owned timer delivery preserves the observable gameplay lifecycle while modern host ownership needs no PIT reset interrupt masking or DOS vector restoration	re/tools/oracle_vectors/func_07ea_natural.json:4
bloodprg	0x000cef	seg_0000/func_000cef_mouse_reset_hide.c	mouse_reset_hide	crates/commander-blood-game/src/native/bloodprg/pointer_buttons.rs	update_pointer_sample	eliminated_host_adapter	SDL supplies stable window-relative samples and the renderer owns any game cursor so resetting a process-global DOS mouse driver hiding its cursor and programming a mickey ratio have no modern runtime role	re/tools/oracle_vectors/func_0cef_natural.json:4
bloodprg	0x000d4a	seg_0000/func_000d4a_mouse_set_ranges.c	mouse_set_ranges	crates/commander-blood-game/src/native/bloodprg/pointer_buttons.rs	PointerLogicalRange::new	eliminated_host_adapter	Owned logical range values preserve every authored bound for scene coordinate mapping without programming process-global INT 33h horizontal and vertical ranges	re/tools/oracle_vectors/func_0d4a_natural.json:3
bloodprg	0x00099f	seg_0000/func_00099f_extended_memory_backends_init.c	extended_memory_backends_init	crates/commander-blood-game/src/native/bloodprg/resource_cache.rs	OriginalResourceCache::new	eliminated_flat_memory_adapter	Owned cache archive and audio allocations replace EMS signature probing fixed page pools XMS fallback handles page-frame publication and external memory-driver vectors; resource availability is represented by typed load results instead of backend handles	re/tools/oracle_vectors/func_099f_natural.json:6
bloodprg	0x000a99	seg_0000/func_000a99_extended_memory_backends_release.c	extended_memory_backends_release	crates/commander-blood-game/src/native/bloodprg/resource_cache.rs	OriginalResourceCache::new	eliminated_flat_memory_adapter	Owned Rust buffers release with their owners and need no ordered EMS interrupts XMS driver calls persistent handles or page-frame state	re/tools/oracle_vectors/func_0a99_natural.json:4
bloodprg	0x000b42	seg_0000/func_000b42_vga_retrace_phase_calibrate.c	vga_retrace_phase_calibrate	crates/commander-blood-game/src/render.rs	Renderer::render	eliminated_host_adapter	wgpu presentation synchronization replaces VGA status-phase measurement PIT channel timing and speaker-control port setup; the recovered phase byte is consumed only by eliminated retrace waits	re/tools/oracle_vectors/func_0b42_natural.json:5
bloodprg	0x000bd7	seg_0000/func_000bd7_video_retrace_phase_wait.c	video_retrace_phase_wait	crates/commander-blood-game/src/render.rs	Renderer::render	eliminated_host_adapter	Frame submission and surface presentation provide the modern synchronization boundary so polling a calibrated VGA status bit and wrapped CRTC port has no runtime role	re/tools/oracle_vectors/func_0bd7_natural.json:5
bloodprg	0x000bff	seg_0000/func_000bff_install_ctrl_break_handler.c	install_ctrl_break_handler	crates/commander-blood-game/src/app.rs	run	eliminated_host_adapter	The Rust SDL process uses typed quit events and Result-based I/O errors and installs no DOS Ctrl-Break or critical-error interrupt vectors	re/tools/oracle_vectors/func_0bff_natural.json:4
bloodprg	0x000c19	seg_0000/func_000c19_bloodprg_ctrl_break_handler.c	bloodprg_ctrl_break_handler	crates/commander-blood-game/src/app.rs	run	eliminated_host_adapter	SDL quit handling replaces the authored empty DOS Ctrl-Break interrupt return without carrying an interrupt frame or register-preservation ABI into Rust	re/tools/oracle_vectors/func_0c19_natural.json:3
bloodprg	0x000c1a	seg_0000/func_000c1a_bloodprg_critical_error_handler.c	bloodprg_critical_error_handler	crates/commander-blood-game/src/app.rs	run	eliminated_host_adapter	Rust propagates host I/O errors through Result; the DOS-only wrapping error-code word written by this handler has no recovered reader and therefore no game-visible state	re/tools/oracle_vectors/func_0c1a_natural.json:4
bloodprg	0x000cc0	seg_0000/func_000cc0_set_video_mode_saved.c	set_video_mode_saved	crates/commander-blood-game/src/app.rs	run	eliminated_host_adapter	SDL and wgpu own window and surface lifetime so process exit needs no BIOS mode restore or saved VGA mode byte	re/tools/oracle_vectors/func_0cc0_natural.json:5
bloodprg	0x000ccb	seg_0000/func_000ccb_cpu_386_or_newer.c	cpu_386_or_newer	crates/commander-blood-game/src/render.rs	Renderer::new	eliminated_host_adapter	Successful compilation and SDL wgpu initialization establish the supported modern target; mutating FLAGS to distinguish 8086 286 and 386 CPUs is obsolete	re/tools/oracle_vectors/func_0ccb_natural.json:4
bloodprg	0x0017af	seg_008b/func_0017af_page_offset_helper.c	page_offset_helper	crates/commander-blood-game/src/render.rs	Renderer::render	eliminated_host_adapter	wgpu presentation replaces signed VGA page-offset repair modulo 16-KiB page advancement CRTC start-address writes and hardware front-buffer selection; translated coordinators identify logical render targets directly and submit one owned frame without exposing page offsets	re/tools/oracle_vectors/func_17af_natural.json:8
