# addr,name,comment
# addr forms: 0xNNNNN = file offset | SEG:OFF = relative seg:off | DS:0xNNNN = DS-relative | IMG:0xNNNN = image offset
0x000600,entry,MZ entry point; sets DS/SS=0x0ce2 SP=0x7e78
0x000CCB,init_early,called from entry, returns status in AX (far? near call e8)
0x0006EC,startup_fail_or_main,jmp target after early init
0x00D420,str_386_minimum,386 minimum ! -- DS:0x0000, data segment base
0x0062B6,vm_token_advance,"decode+skip one script token; biases op by 0xa0, uses length table DS:0x6f18"
0x006293,vm_token_special,called for length-0 opcodes (A8 AC CC D3) from token_advance
0x0073AF,vm_token_walker,scan script for 0xA6 text token matching index bx
0x014338,vm_opcode_lengths,"per-opcode length/sentinel table DS:0x6f18, opcodes A0..D3 x2 bytes"
0x002E33,binary_u32_sqrt,"integer square-root helper for DX:AX, used by ship 3D position distance"
0x0031C8,render_string,"subtitle glyph blitter: SI=ascii str, DI=screen off, DL=color, ES=screen, stride 320; font tables gs:0x7802/0x78b2/0x7908"
DS:0x7802,font_ascii_map,ASCII->glyph index (xlatb base)
DS:0x78B2,font_advances_ds,per-glyph advance widths (DS offset)
DS:0x7908,font_glyphs_ds,8-byte glyph bitmaps (DS offset)
DS:0x67AD,vm_mode,current decode mode (0/1); set by FF/FE sentinels
DS:0x67AA,vm_c2_presentation_flags,C2 kind-0x0400 sets bit 1 after descript.des helper success
DS:0x67B2,vm_flag_b2,gates 0xFB sentinel handling in token_advance
DS:0x6712,vm_resource_offsets,five u16 resource offsets populated at 0x53c8 from FS:0x11f4+profile*10; resolved at 0x55d9 into DS:0x671c..0x672f
DS:0x671C,vm_cod_ptr_exec,COD far pointer used by main exec loop (lds si at 0x5601)
DS:0x6720,vm_cod_ptr_aux,COD far pointer used by token walkers/helpers
DS:0x6724,vm_state_ptr,far ptr to runtime object/line-record state table; serialized by save/load and read by VM record handlers
DS:0x6728,vm_dic_ptr,DIC far pointer used by 0xA6 text assembly
DS:0x672C,vm_deb_object_table_ptr,DEB/object table far pointer scanned in 20-byte records
DS:0x677E,vm_resource_profile_index,current selected script/resource profile index; 0x53A0 avoids reload when AX matches
DS:0x6780,vm_pending_resource_profile,pending D2-requested resource profile index; main loop consumes it at 0x10c5
DS:0x6772,vm_pc,script program counter (offset into COD)
DS:0x6776,vm_pc_saved,saved/next PC used in branch handling
DS:0x6782,vm_branch_a,VM control-flow state word
DS:0x6784,vm_branch_b,VM control-flow state word
DS:0x67F8,vm_word_buf,word buffer filled by 0xA3 handler (collect word list)
DS:0x6770,vm_pending_word,pending word appended by 0xA3 handler
0x005AFD,vm_op_a3_collect,opcode 0xA3 handler: copy 0-term word list from COD into gs:0x67f8
0x0056FE,vm_control_flow,VM branch/gosub control: updates PC gs:0x6772 via calls 0x577a/0x56a6/0x5afd
0x0053A0,vm_resource_profile_select,"select script/resource profile AX; free old DS:0x6712 resources, copy five FS:0x11f4+AX*10 offsets into DS:0x6712, clear VM globals"
0x0053C8,vm_resource_offsets_populate,copy selected five-resource profile from FS:0x11f4+AX*10 into DS:0x6712
0x0053DA,vm_resource_offset_copy_loop,copy and validate five selected resource offsets into DS:0x6712
0x00D3E4,script_resource_profile_table,FS:0x11f4 five 10-byte script profiles: COD/BAS/VAR/DIC/DEB resource IDs
