component	entry	disposition	evidence	rationale
xdb_amer	0x001b5f	native_unreachable	crates/commander-blood-formats/src/alien.rs:1924	No model decoded from the shipped AMER XDB selects the full-scale sample-delta method.
xdb_croolis	0x001acb	native_unreachable	crates/commander-blood-formats/src/alien.rs:1924	No model decoded from the shipped CROOLIS XDB selects the full-scale sample-delta method.
xdb_scrut	0x001b80	native_unreachable	crates/commander-blood-formats/src/alien.rs:1924	No model decoded from the shipped SCRUT XDB selects the full-scale sample-delta method.
xdb_amer	0x001b8f	native_unreachable	crates/commander-blood-formats/src/alien.rs:1924	No model decoded from the shipped AMER XDB selects the scaled sample-delta method.
xdb_croolis	0x001afb	native_unreachable	crates/commander-blood-formats/src/alien.rs:1924	No model decoded from the shipped CROOLIS XDB selects the scaled sample-delta method.
xdb_scrut	0x001bb0	native_unreachable	crates/commander-blood-formats/src/alien.rs:1924	No model decoded from the shipped SCRUT XDB selects the scaled sample-delta method.
xdb_manu3	0x000150	external_entry_unused_by_game	re/source/bloodprg/candidates/seg_008b/func_001610_manu3_hand_frame_dispatch.c:53,re/source/xdb/candidates/manu3/func_000000_api_entry.c:29	BLOODPRG invokes only MANU3's request entry; this separate no-request frame export has no game caller.
xdb_manu3	0x00017c	abi_adapter_only	re/source/xdb/candidates/manu3/func_00017c_anim_select_entry.c:5,re/source/xdb/candidates/manu3/func_000000_api_entry.c:25	This far selector wrapper only forwards to the near selector that the game-facing MANU3 request entry calls directly.
xdb_amer	0x001b1a	native_unreachable	re/source/xdb/candidates/manifest.tsv:71	Table and pointer scans prove this compiled steering sibling has no in-overlay route.
xdb_croolis	0x001a86	native_unreachable	re/source/xdb/candidates/manifest.tsv:81	Table and pointer scans prove this compiled steering sibling has no in-overlay route.
xdb_scrut	0x001b3b	native_unreachable	re/source/xdb/candidates/manifest.tsv:99	Table and pointer scans prove this compiled steering sibling has no in-overlay route.
xdb_scrut	0x0017e1	native_unreachable	re/source/xdb/candidates/manifest.tsv:86	Static reference recovery proves this compiled callback setup has no native caller.
xdb_scrut	0x001a03	native_unreachable	re/source/xdb/candidates/manifest.tsv:97	Static reference recovery proves this compiled active-reset setup has no native caller.
bloodprg	0x0025a4	semantically_inlined	crates/commander-blood-formats/src/script.rs:721	Typed script and resource names compare their bounded byte slices directly; the production object lookup at this line retains the native exact byte-equality rule without a C-string helper call.
bloodprg	0x002665	modernized_replacement	crates/commander-blood-game/src/main.rs:4,re/source/bloodprg/candidates/seg_0000/func_000d75_error_overlay_draw.c:28	The only recovered caller measures text for the DOS coding-error overlay; modern failures carry owned Rust strings through the process error boundary and do not measure a VGA error panel.
bloodprg	0x0006f1	modernized_replacement	crates/commander-blood-game/src/app.rs:90	The modern executable receives structured host arguments instead of tokenizing the counted DOS PSP command tail.
bloodprg	0x000726	modernized_replacement	crates/commander-blood-game/src/app.rs:90,crates/commander-blood-game/src/app.rs:96	Modern data and writable-root options are parsed as owned paths and SDL owns audio-device selection, replacing the DOS WRI and sound-driver option table.
bloodprg	0x006433	semantically_inlined	crates/commander-blood-game/src/native/bloodprg/script_bas_dispatch.rs:628	Decoded dictionary words and stable object identities replace raw dictionary offsets; production BAS dispatch resolves the exact active object name through the typed directory.
bloodprg	0x00647b	semantically_inlined	crates/commander-blood-formats/src/instruction.rs:1097	The A6 decoder consumes its bounded authored word list through the terminator and stores only semantic operands, so runtime code no longer rescans raw positive words to obtain their count.
bloodprg	0x006034	semantically_inlined	crates/commander-blood-formats/src/script.rs:344	Typed VAR source-offset resolution binds each field directly to its owning object record, replacing every native threshold scan while preserving object ownership.
bloodprg	0x0067a7	semantically_inlined	crates/commander-blood-game/src/native/bloodprg/text_handler.rs:598	Production text layout uses each already-bounded dictionary word slice length directly, preserving the native byte-count contribution without probing for a far NUL terminator.
bloodprg	0x008c96	semantically_inlined	crates/commander-blood-game/src/runtime/services.rs:1562	The production navigation owner snapshots the HUD palette and resets the flat bridge camera in the same ordered operation.
bloodprg	0x002224	semantically_inlined	crates/commander-blood-game/src/runtime/input.rs:109,re/source/bloodprg/candidates/seg_008b/func_002224_input_action_accept.c:10	Production Accept now publishes the native carriage-return byte unconditionally; the optional directory-selection branch has no recovered writer for its mode flag in the shipped executable.
bloodprg	0x00555b	semantically_inlined	crates/commander-blood-game/src/native/bloodprg/script_profile/record_state.rs:172	Profile decoding rebuilds the aboard roster while visiting every typed record field, preserving authored order, the maximum-word aboard marker, and overflow handling.
bloodprg	0x000d75	modernized_replacement	crates/commander-blood-game/src/runtime/services.rs:2384,crates/commander-blood-game/src/main.rs:4	Malformed or inconsistent scripts return typed errors through the lifecycle and process boundary instead of drawing the original French VGA coding-error panel.
bloodprg	0x000b32	modernized_replacement	crates/commander-blood-game/src/runtime/services.rs:432	The extracted release has no physical CD-DA track-two payload; the production service explicitly selects the typed unavailable path while retaining a source-metadata insertion point.
bloodprg	0x00147f	modernized_replacement	crates/commander-blood-game/src/runtime/game_lifecycle.rs:570	The modern lifecycle clears its owned startup background cache instead of deleting names from a DOS transient-file table.
bloodprg	0x002f90	modernized_replacement	crates/commander-blood-game/src/render.rs:653	The renderer expands the owned live palette while uploading each frame; no VGA DAC publication side effect exists in the flat wgpu presentation boundary.
bloodprg	0x002fa6	modernized_replacement	crates/commander-blood-game/src/runtime/services.rs:670	The production service clears the owned live palette directly instead of publishing 768 zero components through VGA DAC ports.
