item	file	line	kind	origin	status	evidence
MixSource	src/audio.rs	22	struct		INFRA	/// One sound feeding the shared mixer. /// 16.16 fixed-point read cursor, stepped per output sample.
render	src/audio.rs	34	fn		UNVERIFIED	/// Render this source's next `n` samples as unsigned 8-bit PCM, returning /// how many were real (a play-once source that has ended returns fewer).
finished	src/audio.rs	55	fn		UNVERIFIED	
AudioMixer	src/audio.rs	62	struct		INFRA	/// The shared mixer: every playing sound, folded with the game's rule.
render	src/audio.rs	74	fn		UNVERIFIED	/// Fill `out` with unsigned 8-bit PCM, layering every active source, and drop /// the ones that have ended. /// /// Sources are folded in insertion order, which matters: the layered average /// weigh
add	src/audio.rs	94	fn		INFRA	/// Add a source; returns its handle id.
remove	src/audio.rs	101	fn		INFRA	
active	src/audio.rs	105	fn		UNVERIFIED	
MIXER	src/audio.rs	111	static		UNVERIFIED	/// The process-wide mixer. One device stream, however many sounds.
OUTPUT	src/audio.rs	112	static		UNVERIFIED	
DEVICE_RATE	src/audio.rs	114	static		UNVERIFIED	/// The device rate the shared stream opened at, needed to compute a source step.
mixer	src/audio.rs	116	fn		INFRA	
ensure_output	src/audio.rs	123	fn		INFRA	/// Open the shared output stream once. Returns the device sample rate, or `None` /// when there is no device (the engine stays silent — audio is never a hard /// dependency). // u8 unsigned PCM -> f3
MusicPlayer	src/audio.rs	168	struct		UNVERIFIED	/// Looping background-music player: streams u8 mono PCM at `src_rate` Hz to the /// default output device until dropped/stopped. Playback position advances by a /// fixed-point step so any device rat
start	src/audio.rs	177	fn		UNVERIFIED	/// Start looping playback. Returns `None` when no output device is available /// (the engine stays silent — audio is never a hard dependency).
start_once	src/audio.rs	183	fn		UNVERIFIED	/// Play once (voice clips): the stream goes silent at the end of the data and /// idles until dropped.
start_inner	src/audio.rs	187	fn		UNVERIFIED	// Fixed-point (16.16) source-position stepping, as before -- only the // DESTINATION changed, from a private stream to the shared mixer.
stop	src/audio.rs	199	fn		INFRA	
drop	src/audio.rs	208	fn		INFRA	
PIT_CLOCK_HZ	src/audio.rs	215	const		UNVERIFIED	/// The 8253/8254 PIT input clock (Hz) — the base frequency the PC-speaker channel-2 /// square wave is divided down from.
pit_divisor_to_hz	src/audio.rs	220	fn	0x6c0,0x2e9c	ASM?	/// Convert a PIT frequency divisor (the value written to port 0x42) to the PC-speaker /// tone frequency in Hz, exactly as the hardware does: `1193182 / divisor`. The game's /// beep handler (`cmd_ha
square_wave_pcm	src/audio.rs	231	fn		UNVERIFIED	/// Synthesize the PC-speaker beep as `secs` of unsigned-8-bit mono square wave at `hz` /// (sampled at `rate`) — the waveform the speaker gate produces. Returns the PCM buffer, /// playable through [
beep	src/audio.rs	252	fn		UNVERIFIED	/// Play the decoded PC-speaker beep (PIT `divisor`) for `secs` on the default device, /// returning a play-once player (or `None` if no device). Convenience wrapper tying the /// decoded divisor→freq
MENU_BLOCK_END	src/bas_vm.rs	23	const		UNVERIFIED	/// The `0xAC` opcode terminates a menu's response block (verified via BASSTEP trace).
MenuBlock	src/bas_vm.rs	30	struct		UNVERIFIED	/// A decoded menu BLOCK: the menu's topics plus the response `0xA6` TEXT tokens that /// follow it, terminated by `0xAC` (grammar: `0xA3 <topics> [0xA6 response]* 0xAC`, /// single-step-traced from t
parse_menu_block	src/bas_vm.rs	44	fn	0x0000	ASM?	/// Parse the menu BLOCK at `menu_offset` (a `0xA3`): its topic list, then the `0xA6` /// response tokens up to the `0xAC` terminator. Returns `None` if `menu_offset` is not /// a menu head. Uses the 
SequentialResponses	src/bas_vm.rs	90	struct		UNVERIFIED	/// Sequential response player for a menu block whose responses are a monologue shown /// one-per-interaction (the already-shown gating `vm.rs` models — verified: the /// psychotherapy fear/anger bloc
new	src/bas_vm.rs	97	fn		TESTED	/// Start playing a menu block's responses (in stream order).
advance	src/bas_vm.rs	103	fn		UNVERIFIED	/// The next response `0xA6` BAS offset to display, advancing the shown count. /// `None` once the monologue is exhausted (all responses already shown).
remaining	src/bas_vm.rs	112	fn		UNVERIFIED	/// Responses not yet shown.
total	src/bas_vm.rs	117	fn		UNVERIFIED	/// Total responses in the block.
parse_dic_words	src/bas_vm.rs	123	fn		INFRA	/// Parse a `SCRIPTn.DIC` into {offset -> word}.
is_single_token	src/bas_vm.rs	127	fn		UNVERIFIED	
BACK_TOPICS	src/bas_vm.rs	132	const		UNVERIFIED	"/// A back-out topic that pops the menu stack (the game's universal ""leave"" verb)."
BasMenuStack	src/bas_vm.rs	137	struct	0x6772,0x6774	ASM?	/// The concept-menu stack for one script's conversation, mirroring the game's /// `gs:0x6772`/`gs:0x6774` menu stack.
new	src/bas_vm.rs	151	fn	0x6774	ASM?	/// Decode a script's menus and seed the stack with the ENTRY menu — the first /// `0xA3` the BAS VM reaches from offset 0 (verified: SCRIPT2's entry is 0x2f, /// the top-level menu, which is the base
current	src/bas_vm.rs	158	fn	0x6772	ASM?	/// The menu currently displayed (the top of the stack = `gs:0x6772`).
current_block	src/bas_vm.rs	167	fn		UNVERIFIED	/// The current menu's full parsed BLOCK — its topics plus the `0xA6` response /// tokens up to the `0xAC` terminator (grammar from [`parse_menu_block`], /// verified against the runtime trace). Ties 
current_responses	src/bas_vm.rs	172	fn		UNVERIFIED	/// A sequential-response player for the current menu's block (its monologue).
current_menu_dialogue	src/bas_vm.rs	179	fn		UNVERIFIED	/// The current menu's full response monologue as renderable subtitle lines (its /// `0xA6` responses assembled in order) — the dialogue the engine plays for the /// active concept menu. Empty if no m
response_text	src/bas_vm.rs	188	fn	0xFFFF	ASM?	/// The subtitle text of the response `0xA6` token at `bas_offset` — its dictionary /// words assembled with the game's punctuation-aware spacing. So a played response /// yields the actual on-screen 
menus	src/bas_vm.rs	207	fn		INFRA	/// All decoded menus (for wiring topic → sub-menu targets from the BAS flow).
push	src/bas_vm.rs	213	fn		TESTED	/// Enter the menu at `bas_offset` (push, as VM opcode `0xA3` does). Returns /// false if no menu is defined there.
pop	src/bas_vm.rs	224	fn		TESTED	/// Back out of the current menu (pop). Never empties the stack — the entry /// menu always remains, matching the game (the top-level menu is never popped).
is_back_topic	src/bas_vm.rs	234	fn		TESTED	/// Whether a topic label backs out of the menu (pops) rather than descending.
depth	src/bas_vm.rs	239	fn		TESTED	/// Current stack depth (1 = at the entry menu).
BLOODPRG_FILE_SIZE	src/bloodprg.rs	9	const		DATA	
BLOODPRG_SHA256	src/bloodprg.rs	21	const		UNVERIFIED	/// NOT VERIFIED BY ANY TEST, and stated so. The port has no hashing dependency, /// so nothing here confirms the shipped image is this one — the constant is a /// DECLARATION OF WHICH BINARY every ad
VM_CODE_SEGMENT	src/bloodprg.rs	23	const		UNVERIFIED	
FS_SEGMENT	src/bloodprg.rs	24	const		DATA	
DATA_SEGMENT	src/bloodprg.rs	25	const		DATA	
OPCODE_HANDLER_TABLE_FILE_OFFSET	src/bloodprg.rs	26	const		DATA	
OPCODE_LENGTH_TABLE_FILE_OFFSET	src/bloodprg.rs	27	const		DATA	
RESOURCE_NAME_TABLE_FS_OFFSET	src/bloodprg.rs	28	const		DATA	
RESOURCE_NAME_TABLE_FILE_OFFSET	src/bloodprg.rs	29	const		DATA	
RESOURCE_NAME_ENTRY_LEN	src/bloodprg.rs	30	const		UNVERIFIED	
SCRIPT_RESOURCE_PROFILE_TABLE_FS_OFFSET	src/bloodprg.rs	31	const		DATA	
SCRIPT_RESOURCE_PROFILE_TABLE_FILE_OFFSET	src/bloodprg.rs	32	const		DATA	
SCRIPT_RESOURCE_PROFILE_COUNT	src/bloodprg.rs	33	const		DATA	
SCRIPT_RESOURCE_PROFILE_SLOT_COUNT	src/bloodprg.rs	34	const		DATA	
SCRIPT_RESOURCE_PROFILE_STRIDE	src/bloodprg.rs	35	const		DATA	
DIALOGUE_FONT_ASCII_MAP_FILE_OFFSET	src/bloodprg.rs	36	const		DATA	
DIALOGUE_FONT_ADVANCES_FILE_OFFSET	src/bloodprg.rs	37	const		DATA	
DIALOGUE_FONT_GLYPHS_FILE_OFFSET	src/bloodprg.rs	38	const		DATA	
DIALOGUE_FONT_ASCII_MAP_LEN	src/bloodprg.rs	45	const	0x14C22,0x14CD2	ASM	/// 176 (`0xB0`), NOT 128. The map runs from `0x14C22` to the advance table at /// `0x14CD2`, and the 48 entries past 128 are REAL: 14 of them are live glyph /// indices (`0x82`->`é`, `0x84`->`ä`, `0x
DIALOGUE_FONT_GLYPH_COUNT	src/bloodprg.rs	46	const		UNVERIFIED	
OPTION_MENU_POINTER_LIST_DS	src/bloodprg.rs	49	const	0x2567,0x8871	DATA	/// `mov si,0x2567` @`0x8871` — the OPTION menu's pointer list.
LIST_WIDGET_CANCEL_LABEL_DS	src/bloodprg.rs	51	const		DATA	/// The list widget's shared trailing entry, `ship_3d_target_extra_label`.
MUSIC_ON_LABEL_DS	src/bloodprg.rs	53	const		DATA	/// `MUSIC_ON`, the toggle face the pointer list omits.
STATUS_HEADER_PLANET_DS	src/bloodprg.rs	55	const	0x12E,0x8369	ASM?	"/// `mov si,0x12E` @`0x8369` — ""PLANET: ""."
STATUS_HEADER_SHIP_DS	src/bloodprg.rs	57	const	0x137,0x836C	ASM?	"/// `mov si,0x137` @`0x836C`'s branch — ""SHIP: ""."
STATUS_HEADER_BLACK_HOLE_DS	src/bloodprg.rs	59	const	0x13E,0x8376	ASM?	"/// `mov si,0x13E` @`0x8376`'s branch — ""BLACK HOLE: ""."
STATUS_LIFE_SUPPORT_DS	src/bloodprg.rs	61	const	0x14B,0x839F	ASM?	"/// `mov si,0x14B` @`0x839F` — ""LIFE SUPPORT:""."
TEXT_SPEED_POINTER_LIST_DS	src/bloodprg.rs	63	const		DATA	/// The TEXT-SPEED submenu's pointer list.
TEXT_SPEED_STEP_INITIAL	src/bloodprg.rs	70	const	0x0ACA,0x0DEEA	DATA	/// The text-speed step the IMAGE SHIPS at `DS:0x0ACA` (file `0x0DEEA`) — 2, which /// is what `vm::text_speed_step_from_setting` gives for setting 1, `FAST`. /// /// A DATA value, not an immediate: t
TEXT_SPEED_STEP_DS	src/bloodprg.rs	72	const	0x0ACA	ASM?	/// `DS:0x0ACA` — the divisor in the dialogue updater's reveal rate.
DIALOGUE_FONT_GLYPH_HEIGHT	src/bloodprg.rs	85	const		UNVERIFIED	
SND_ENTRY_SEGMENT	src/bloodprg.rs	86	const		DATA	
SND_ENTRY_OFFSET	src/bloodprg.rs	87	const		DATA	
SND_BANK_LOAD_SEGMENT	src/bloodprg.rs	88	const		DATA	
SND_BANK_LOAD_OFFSET	src/bloodprg.rs	89	const		DATA	
RENDER_SEGMENT	src/bloodprg.rs	90	const		DATA	
RENDER_VGA_DAC_PALETTE_LOAD_OFFSET	src/bloodprg.rs	91	const		DATA	
RENDER_VGA_DAC_PALETTE_CLEAR_OFFSET	src/bloodprg.rs	92	const		DATA	
RENDER_FIXED_8X8_TEXT_OFFSET	src/bloodprg.rs	93	const		DATA	
RENDER_FONT_STRING_WIDTH_OFFSET	src/bloodprg.rs	94	const		DATA	
RENDER_UI_TEXT_OFFSET	src/bloodprg.rs	95	const		DATA	
RENDER_STRING_OFFSET	src/bloodprg.rs	96	const		DATA	
RENDER_FRAMEBUFFER_RECT_REMAP_OFFSET	src/bloodprg.rs	97	const		DATA	
RENDER_PLANAR_UI_TEXT_OFFSET	src/bloodprg.rs	98	const		DATA	
RENDER_PLANAR_DIALOGUE_TEXT_OFFSET	src/bloodprg.rs	99	const		DATA	
RENDER_SUBTITLE_REVEAL_OFFSET	src/bloodprg.rs	100	const		UNVERIFIED	
RENDER_SMALL_TEXT_OFFSET	src/bloodprg.rs	101	const		UNVERIFIED	
RENDER_PLANAR_HORIZONTAL_LINE_OFFSET	src/bloodprg.rs	102	const		UNVERIFIED	
RENDER_PLANAR_VERTICAL_LINE_OFFSET	src/bloodprg.rs	103	const		UNVERIFIED	
