function	classification	exposure	contract	original_returns	recovered_returns	original_carriers	recovered_carriers	original_evidence	recovered_evidence	escape_sources
bloodprg_entry	closed_world_difference	direct_rebuilt_calls	none	noreturn:0	far:0	ax:32,bp:32,bx:32,cx:16,di:32,ds:16,dx:16,es:16,fs:16,gs:16,si:32	ax:16,es:16	callee exits	callee exits	none
startup_command_line_parse	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
startup_option_apply	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
install_timer_isr_hook	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
bloodprg_timer_isr	external_exact	external	dos_interrupt_08	interrupt:0	interrupt:0	void	void	callee exits	callee exits	re/source/bloodprg/candidates/seg_0000/func_00079c_install_timer_isr_hook.c
restore_timer_isr_hook	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
rtc_time_read	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
rtc_date_read	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
bcd_to_binary	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	ax:16	ax:16	direct callers	direct callers	none
extended_memory_backends_init	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
extended_memory_backends_release	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
detect_cdrom	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	ax:16	direct callers	direct callers	none
vga_retrace_phase_calibrate	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
video_retrace_phase_wait	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
install_ctrl_break_handler	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
bloodprg_ctrl_break_handler	external_exact	external	dos_interrupt_23	interrupt:0	interrupt:0	void	void	callee exits	callee exits	re/source/bloodprg/candidates/seg_0000/func_000bff_install_ctrl_break_handler.c
bloodprg_critical_error_handler	external_exact	external	dos_interrupt_24	interrupt:0	interrupt:0	void	void	callee exits	callee exits	re/source/bloodprg/candidates/seg_0000/func_000bff_install_ctrl_break_handler.c
