segment	offset	symbols	status	canonical_owner	rust_path	evidence
DATA	0x0A32	confirm_dialog_state,manu3_animation_selector_request,nav_actor_presentation_state,vm_presentation_status_word	verified_shared	ModernGameServices::manu3_hand	crates/commander-blood-game/src/runtime/services.rs	native::bloodprg::choice_list::tests::layout_and_interaction_match_every_flat_original_vector
DATA	0x0A34	manu3_animation_selector_current,nav_target_presentation_state	verified_shared	ModernGameServices::manu3_hand	crates/commander-blood-game/src/runtime/services.rs	native::bloodprg::manu3_hand::tests::hand_frame_matches_every_original_vector
DATA	0x0A92	byte_parser_background_source_size,snd_source_remaining	verified_eliminated_adapter	Owned resource byte slices	crates/commander-blood-game/src/assets.rs	native::bloodprg::resource_cache::tests::source_selection_matches_every_native_oracle_vector;native::bloodprg::audio_stream::tests::source_loader_matches_every_valid_original_storage_vector
DATA	0x0A96	alien_overlay_slot,manu3_overlay_entry	verified_eliminated_adapter	Typed MANU3 and alien-overlay dispatch arguments	crates/commander-blood-game/src/native/bloodprg/alien_cycle.rs	native::bloodprg::manu3_hand::tests::hand_dispatch_matches_every_original_state_vector;native::bloodprg::alien_cycle::tests::cycle_matches_every_original_coordinator_vector
DATA	0x0ACA	presentation_choice_result,subtitle_text_speed_step	verified_shared	RuntimeSubtitleReveal::state.text_speed_step	crates/commander-blood-game/src/runtime/subtitles.rs	native::bloodprg::presentation_choice::tests::coordinator_matches_every_original_choice_vector;native::bloodprg::subtitle_reveal::tests::subtitle_reveal_matches_every_original_vector
DATA	0x0ADA	framebuffer_transition_total_steps,ship_3d_interpolation_duration	verified_lifetime_split	FramebufferTransitionState per exclusive coordinator	crates/commander-blood-game/src/native/bloodprg/frame_transition.rs	native::bloodprg::frame_transition::tests::rectangle_interpolation_matches_every_original_vector;native::bloodprg::ship_navigation::tests::navigation_coordinator_matches_every_original_vector
DATA	0x0ADC	save_slot_transition_aux,ship_3d_target_layout_preserve_widths	pending_review	-	-	-
DATA	0x0ADF	game_mode_0adf,game_mode_0adf_gs,main_loop_hud_refresh_enabled	pending_review	-	-	-
DATA	0x0AF2	centered_text_line_layout,error_overlay_number_buffer,resource_file_header,startup_argument_token	verified_lifetime_split	Typed startup resource and diagnostic buffers	crates/commander-blood-game/src/native/bloodprg/diagnostics.rs	native::bloodprg::startup::tests::tokenizer_matches_every_original_command_tail_vector;native::bloodprg::diagnostics::tests::overlay_composition_matches_every_original_mode_vector
DATA	0x0B29	timer_state,timer_tick_count_low	pending_review	-	-	-
DATA	0x0B35	video_calibration_ticks,vm_dialogue_hold_countdown	pending_review	-	-	-
