component	entry	source	function	rust_path	rust_symbol	documentation	evidence
xdb_manu3	0x000000	manu3/func_000000_api_entry.c	xdb_manu3_api_entry	crates/commander-blood-game/src/native/manu3/model.rs	render_frame	Five-bit animation dispatch, cursor-adjusted view, reference centering, and ordered typed frame preparation	re/tools/oracle_vectors/xdb_manu3_func_0000_natural.json:8
xdb_amer	0x000223	amer/func_000223_mouse_camera_step.c	xdb_amer_mouse_camera_step	crates/commander-blood-game/src/native/alien/control.rs	AlienCameraControl::step	AMER mouse filtering, wrapping camera accumulators, depth velocity, low-bit interaction latch, and key retention policy	re/tools/oracle_vectors/xdb_amer_func_0223_natural.json:8
xdb_croolis	0x00022a	croolis/func_00022a_mouse_camera_step.c	xdb_croolis_mouse_camera_step	crates/commander-blood-game/src/native/alien/control.rs	AlienCameraControl::step	CROOLIS mouse filtering, wrapping camera accumulators, depth velocity, full interaction latch, and space action policy	re/tools/oracle_vectors/xdb_croolis_func_022a_natural.json:8
xdb_scrut	0x00022a	scrut/func_00022a_mouse_camera_step.c	xdb_scrut_mouse_camera_step	crates/commander-blood-game/src/native/alien/control.rs	AlienCameraControl::step	SCRUT mouse filtering, wrapping camera accumulators, depth velocity, full interaction latch, and space action policy	re/tools/oracle_vectors/xdb_scrut_func_022a_natural.json:8
xdb_amer	0x00059b	amer/func_00059b_project_primary_mesh_then_render.c	xdb_amer_project_primary_mesh_then_render	crates/commander-blood-game/src/native/alien/primary.rs	AlienPrimaryMeshPose::project_and_select	Primary projection with retained authored raster depth, whole-mesh clipping, face selection, and typed LIFO buckets	re/tools/oracle_vectors/xdb_amer_func_059b_natural.json:9
xdb_croolis	0x0005dc	croolis/func_0005dc_project_primary_mesh_then_render.c	xdb_croolis_project_primary_mesh_then_render	crates/commander-blood-game/src/native/alien/primary.rs	AlienPrimaryMeshPose::project_and_select	Primary projection with retained authored raster depth, whole-mesh clipping, face selection, and typed LIFO buckets	re/tools/oracle_vectors/xdb_croolis_func_05dc_natural.json:9
xdb_scrut	0x0005dc	scrut/func_0005dc_project_primary_mesh_then_render.c	xdb_scrut_project_primary_mesh_then_render	crates/commander-blood-game/src/native/alien/primary.rs	AlienPrimaryMeshPose::project_and_select	Primary projection with retained authored raster depth, whole-mesh clipping, face selection, and typed LIFO buckets	re/tools/oracle_vectors/xdb_scrut_func_05dc_natural.json:9
xdb_amer	0x000734	amer/func_000734_render_starfield.c	xdb_amer_render_starfield	crates/commander-blood-game/src/native/alien/starfield.rs	generate_starfield	Flat 1200-star random stream, camera-cell wrapping, fixed-point projection, viewport rejection, shade and palette selection	re/tools/oracle_vectors/xdb_amer_func_0734_natural.json:8
xdb_croolis	0x000775	croolis/func_000775_render_starfield.c	xdb_croolis_render_starfield	crates/commander-blood-game/src/native/alien/starfield.rs	generate_starfield	Flat 1200-star random stream, camera-cell wrapping, fixed-point projection, viewport rejection, shade and palette selection	re/tools/oracle_vectors/xdb_croolis_func_0775_natural.json:8
xdb_scrut	0x000775	scrut/func_000775_render_starfield.c	xdb_scrut_render_starfield	crates/commander-blood-game/src/native/alien/starfield.rs	generate_starfield	Flat 1200-star random stream, camera-cell wrapping, fixed-point projection, viewport rejection, shade and palette selection	re/tools/oracle_vectors/xdb_scrut_func_0775_natural.json:8
