scenario	script	object	list_index	node_offset	selector_offset	selector	menu_row	choice_offset	choice	dialogue_events
script1:Honk:0002:0	SCRIPT1	Honk	0	0x0002	0x0a50	parler	0	0x0a57	adieu	1
script2:Eviscerator:0002:0	SCRIPT2	Eviscerator	0	0x0002	0x0001	talk	0	0x187e	yes	2
script2:Eviscerator:0002:1	SCRIPT2	Eviscerator	0	0x0002	0x0001	talk	1	0x007f	no	2
script2:Honk:002b:0	SCRIPT2	Honk	1	0x002b	0x0001	talk	0	0x0b4e	bye_bye	4
script2:Honk:002b:1	SCRIPT2	Honk	1	0x002b	0x0001	talk	1	0x3d25	optimization	4
script2:Honk:002b:2	SCRIPT2	Honk	1	0x002b	0x0001	talk	2	0x3d32	consultation	4
script2:Honk:002b:3	SCRIPT2	Honk	1	0x002b	0x0001	talk	3	0x0b56	explanations	4
script2:Honk:002b:4	SCRIPT2	Honk	1	0x002b	0x0001	talk	4	0x3d3f	calm_down	4
script2:Honk:002b:5	SCRIPT2	Honk	1	0x002b	0x0001	talk	5	0x28b6	play	4
script2:Honk:002b:6	SCRIPT2	Honk	1	0x002b	0x0001	talk	6	0x3d49	win	4
script2:Honk:002b:7	SCRIPT2	Honk	1	0x002b	0x0001	talk	7	0x3d4d	lose	4
script2:Honk:002b:8	SCRIPT2	Honk	1	0x002b	0x0001	talk	8	0x05cf	help	4
script2:Honk:00b3:0	SCRIPT2	Honk	1	0x00b3	0x28b6	play	0	0x0001	talk	12
script2:Honk:00b3:1	SCRIPT2	Honk	1	0x00b3	0x28b6	play	1	0x3d8a	click	12
script2:Honk:00b3:2	SCRIPT2	Honk	1	0x00b3	0x28b6	play	2	0x3d90	dialog	12
script2:Honk:00b3:3	SCRIPT2	Honk	1	0x00b3	0x28b6	play	3	0x3d97	fair_play	12
script2:Honk:02ad:0	SCRIPT2	Honk	1	0x02ad	0x3d49	win	0	0x0001	talk	8
script2:Honk:02ad:1	SCRIPT2	Honk	1	0x02ad	0x3d49	win	1	0x3e62	willpower	8
script2:Honk:02ad:2	SCRIPT2	Honk	1	0x02ad	0x3d49	win	2	0x3e6c	strength	8
script2:Honk:02ad:3	SCRIPT2	Honk	1	0x02ad	0x3d49	win	3	0x3e75	bravery	8
script2:Honk:02ad:4	SCRIPT2	Honk	1	0x02ad	0x3d49	win	4	0x3e7d	pride	8
script2:Honk:0429:0	SCRIPT2	Honk	1	0x0429	0x3d4d	lose	0	0x0001	talk	13
script2:Honk:0429:1	SCRIPT2	Honk	1	0x0429	0x3d4d	lose	1	0x3f39	fear	13
script2:Honk:0429:2	SCRIPT2	Honk	1	0x0429	0x3d4d	lose	2	0x3f3e	weakness	13
script2:Honk:0429:3	SCRIPT2	Honk	1	0x0429	0x3d4d	lose	3	0x3f47	complain	13
script2:Honk:0429:4	SCRIPT2	Honk	1	0x0429	0x3d4d	lose	4	0x3f50	anger	13
script2:Honk:0429:5	SCRIPT2	Honk	1	0x0429	0x3d4d	lose	5	0x3f56	break	13
script2:Honk:0429:6	SCRIPT2	Honk	1	0x0429	0x3d4d	lose	6	0x2acc	cry	13
