script	procedure	procedure_offset	contact_offset	entry_class	contact_object	object_offset	entry_tokens	presentations	texts	first_text_offset	first_subtitle
SCRIPT1	BOB1	0x077D	0x0781	direct	Bob_Morlock	0x004A	1	1	32	0x0788	Good day COMMANDER. My name is BOB,  BOB MORLOCK...
SCRIPT2	scrub	0x02D2	0x02D6	direct	Scruter_Jo	0x070A	1	1	5	0x02DD	I've reprogrammed him, Commander...  And I've discovered something  weird...
SCRIPT2	scrujo	0x0381	0x0385	direct	Scruter_Jo	0x070A	1	1	30	0x038C	Commander you go get BIONIUM in  CYBERSPACE of SCRUTER JO...
SCRIPT2	boba1	0x1C4C	0x1C50	conditioned	Bob_Morlock	0x004A	2	1	9	0x1C5E	HONK! You worthless heap of wires...  Are you working?
SCRIPT2	boba2	0x1D73	0x1D77	conditioned	Bob_Morlock	0x004A	2	1	13	0x1D85	My bones feel like they've been  through a shredder... HONK!  Miserable machine! Give me a shot  of ASPIROX!!!
SCRIPT2	boba3	0x1F71	0x1F75	conditioned	Bob_Morlock	0x004A	2	1	12	0x1F83	I'm thirsty... HONK! You reject  fridge component! Give me a glass  of recycled water!!!
SCRIPT2	boba4	0x212C	0x2130	conditioned	Bob_Morlock	0x004A	4	1	12	0x2149	I'm hungry... HONK! You no-good  collection of second-hand wiring!  Where's the menu!!!
SCRIPT2	augmen	0x22DA	0x22DE	conditioned	Bob_Morlock	0x004A	3	1	6	0x22F3	While you're awake, Cap'n Bob, sir...  I have a request to make...
SCRIPT2	revel	0x23D2	0x23D6	conditioned	Bob_Morlock	0x004A	3	1	16	0x23EB	You want to know an unbearable  truth, Commander?
SCRIPT2	caft	0x25DE	0x25E2	conditioned	Bob_Morlock	0x004A	2	1	10	0x25F0	Cap'n Bob, I have to tell you the  Commander has behaved very badly...
SCRIPT2	bronk1	0x5FB2	0x5FB6	conditioned	Bronko	0x031A	2	1	6	0x5FC4	Nice ship you got, Commander...
SCRIPT2	bronk2	0x6084	0x6088	conditioned	Bronko	0x031A	2	1	4	0x6096	Me busy do onboard cooking. Me  make tasty meals for Cap'n Bob...
SCRIPT2	Cryomorn2	0x6A7A	0x6A7E	conditioned	Morning_Oil	0x028A	3	0	19	0x6A91	Ahhh... Morning Oil, veteran of  the Great Croolis War, reporting  for duty. I greet you and say  thank you also...
SCRIPT2	letar	0x6D40	0x6D4B	conditioned	Morning_Oil	0x028A	2	1	3	0x6D52	Aaaaaah...
SCRIPT2	morntv	0x6DBD	0x6DCD	conditioned	Morning_Oil	0x028A	2	1	7	0x6DCF	THE HONK REPORT:
SCRIPT2	Cryomorn4	0x6EAD	0x6EB1	conditioned	Morning_Oil	0x028A	2	1	10	0x6EBF	Commander, Commander, Morning Oil  has something big, big, big to  tell you... Commander...
SCRIPT3	scrujo	0x00C8	0x00CC	direct	Scruter_Jo	0x07E2	1	1	30	0x00D3	Commander you go get BIONIUM in  CYBERSPACE of SCRUTER JO...
SCRIPT3	clay2	0x04A4	0x04A8	direct	Anna_Haf	0x04CA	1	1	2	0x04AF	Commander, this is one tough  repair job...
SCRIPT3	morn2	0x0D76	0x0D7A	conditioned	Morning_Oil	0x03AA	4	1	7	0x0D93	Commander, I have repaired Mister  Kran Dobu's vessel...
SCRIPT3	bronk1	0x0E7A	0x0E7E	conditioned	Bronko	0x043A	4	1	20	0x0E98	Commander, I'm getting rusty...
SCRIPT3	bronk2	0x1141	0x1145	conditioned	Bronko	0x043A	3	1	11	0x1157	Commander, I'm getting bored in a  big big way... I need action...
SCRIPT3	bronk6	0x1723	0x1727	conditioned	Bronko	0x043A	2	1	9	0x1733	Phew... I'm happy to be back...
SCRIPT3	bronk7	0x1879	0x187D	direct	Bronko	0x043A	1	1	5	0x1884	Everything's under control,  Commander...
SCRIPT3	port1	0x1936	0x193A	conditioned	receiver	0x0242	3	1	3	0x1948	SHHHHHHHHHHHHHHHHHHHHHHHHHHH...
SCRIPT3	port2	0x1973	0x1977	conditioned	receiver	0x0242	3	1	8	0x198A	Quick... Hurry it up... We're  taking everything...
SCRIPT3	pojk	0x1A70	0x1A74	direct	receiver	0x0242	1	1	3	0x1A7B	BZZZZZ...
SCRIPT3	ed4	0x4040	0x4044	direct	Tina_Burner	0x0872	1	1	12	0x404B	Hey! Love the ship, Commander! And  who's the senior citizen snoring  beside me???
SCRIPT3	ed5	0x41C2	0x41C6	direct	Tina_Burner	0x0872	1	1	5	0x41CD	CRY CRY...
SCRIPT3	tum9	0x5BEB	0x5BEF	conditioned	Beauregard	0x05A2	2	1	6	0x5BFB	Aaaaaa, Commander I'm blasted...
SCRIPT3	boba1	0x84BE	0x84C2	direct	Bob_Morlock	0x016A	1	1	7	0x84C9	...
SCRIPT3	augmen	0x855E	0x8562	conditioned	Bob_Morlock	0x016A	3	1	6	0x8577	By the way, Cap'n Bob sir, there's  something I wanted to talk to you  about...
SCRIPT3	revel	0x8660	0x8664	conditioned	Bob_Morlock	0x016A	3	1	15	0x8679	You want to know an unbearable  truth, Commander?
SCRIPT4	bronk2	0x00C9	0x00CD	direct	Bronko	0x0512	1	1	4	0x00D4	Me busy do onboard cooking. Me  make tasty meals for Cap'n Bob...
SCRIPT4	scrujo	0x0147	0x014B	direct	Scruter_Jo	0x0872	1	1	30	0x0152	Commander you go get BIONIUM in  CYBERSPACE of SCRUTER JO...
SCRIPT4	recept	0x0485	0x0489	direct	receiver	0x031A	1	1	3	0x0490	zzzzzzzzzz shshshshs... crak...
SCRIPT4	beau	0x04C7	0x04CB	conditioned	Beauregard	0x067A	2	1	9	0x04D9	AAAAAHHH. Commander, I'm cursed...
SCRIPT4	beau	0x055C	0x0560	conditioned	Beauregard	0x067A	3	1	10	0x0574	Ahhhh... Commander... I feel  better now...
SCRIPT4	beaureg	0x069D	0x06A1	conditioned	Beauregard	0x067A	3	1	3	0x06B4	Ahhhh... Commander... I feel  better now...
SCRIPT4	fif5	0x0D2F	0x0D33	direct	Fifi	0x079A	1	1	11	0x0D3A	Fifi happy... Hee hee hee...
SCRIPT4	ondo1	0x1080	0x1084	direct	ondoyant	0x055A	1	1	8	0x108B	...
SCRIPT4	HO	0x1E59	0x1E5D	direct	Hom	0x03AA	1	1	3	0x1E64	Me HOM...
SCRIPT4	beta2	0x2C4C	0x2C50	direct	Betakam	0x0122	1	1	8	0x2C57	Did you find a planet?
SCRIPT4	clay1	0x3084	0x3088	conditioned	Anna_Haf	0x05A2	2	1	3	0x3095	...
SCRIPT4	clay2	0x30C6	0x30CA	conditioned	Anna_Haf	0x05A2	2	1	10	0x30D6	I've got him fixed, Commander...  His name's Sighs Ate Anna Haf...
SCRIPT4	clay3	0x320C	0x3210	conditioned	Anna_Haf	0x05A2	3	1	10	0x3220	Howzabout having Haf here snatch  the portrait from Vista, Commander?
SCRIPT4	clay9	0x3683	0x3687	direct	Anna_Haf	0x05A2	1	1	3	0x368E	Hello, Commander... I'm sleeping  real well...
SCRIPT4	yoo	0x3F94	0x3F98	direct	Yoko	0x03F2	1	1	5	0x3F9F	Thank you... Thank you...  Commander...
SCRIPT4	maxo	0x3FF6	0x3FFA	direct	Maxxon	0x070A	1	1	4	0x4001	Thank you... Commander...
SCRIPT4	boba1	0x4DDF	0x4DE3	direct	Bob_Morlock	0x0242	1	1	8	0x4DEA	What do you want, Commander?
SCRIPT4	augmen	0x4E90	0x4E94	conditioned	Bob_Morlock	0x0242	3	1	6	0x4EA9	By the way, Cap'n Bob sir, I have  a request to make...
